logdir,hostpair,server,client,bw_limit,repetition,goodput,filesize,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,server_throughput_outgoing,server_throughput_incoming,client_throughput_outgoing,client_throughput_incoming,client_perf,server_perf,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_tc_stats,server_tc_stats,client_runtime
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,1,58.925912147467635,209715200.0,,,,,,,,,,,0,0,226747865,11641614,208327,115245,0,0,11641550,226747801,115244,208326,208322,0,0,115240,0,0,115239,0,0,208321,0,0,,,28.471711894
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,2,55.98524707456073,209715200.0,,,,,,,,,,,0,0,226600116,13767318,206240,136293,0,0,13767526,226600324,136293,206240,206236,0,0,136289,0,0,136289,0,0,206236,0,0,,,29.967209213
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,3,56.38081688323114,209715200.0,,,,,,,,,,,0,0,226594507,13446138,206173,133113,0,0,13446074,226594443,133112,206172,206169,0,0,133109,0,0,133109,0,0,206169,0,0,,,29.756957355
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,4,53.79136037294692,209715200.0,,,,,,,,,,,0,0,226618380,16182935,206413,160210,0,0,16182871,226618316,160209,206412,206410,0,0,160207,0,0,160207,0,0,206410,0,0,,,31.189424867
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,5,55.13490377987178,209715200.0,,,,,,,,,,,0,0,226601694,15431134,206207,152765,0,0,15430798,226601358,152763,206205,206201,0,0,152759,0,0,152759,0,0,206201,0,0,,,30.429392497
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,6,55.84772996397356,209715200.0,,,,,,,,,,,0,0,226601422,14057258,206246,139162,0,0,14057194,226601358,139161,206245,206242,0,0,139158,0,0,139158,0,0,206242,0,0,,,30.040998979
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,7,55.83034396200458,209715200.0,,,,,,,,,,,0,0,226603929,13802674,206288,136641,0,0,13802674,226603929,136641,206288,206284,0,0,136637,0,0,136637,0,0,206284,0,0,,,30.050353706
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,8,53.91029534890955,209715200.0,,,,,,,,,,,0,0,226615517,16046925,206378,158863,0,0,16047197,226615517,158864,206378,206375,0,0,158860,0,0,158860,0,0,206375,0,0,,,31.120615707
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,9,76.0022248156459,209715200.0,,,,,,,,,,,0,0,226576634,5680791,206194,56228,0,0,5680791,226576634,56228,206194,206191,0,0,56225,0,0,56225,0,0,206191,0,0,,,22.074638039
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,10,56.248330583983055,209715200.0,,,,,,,,,,,0,0,226592866,13429510,206151,132948,0,0,13429510,226592866,132948,206151,206148,0,0,132945,0,0,132945,0,0,206148,0,0,,,29.827046862
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,11,55.73743881443872,209715200.0,,,,,,,,,,,0,0,226603020,13851892,206277,137130,0,0,13851892,226603020,137130,206277,206274,0,0,137127,0,0,137127,0,0,206274,0,0,,,30.100442871
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,12,54.54771626605157,209715200.0,,,,,,,,,,,0,0,226619947,15205160,206463,150527,0,0,15204888,226619675,150526,206462,206460,0,0,150524,0,0,150524,0,0,206460,0,0,,,30.75695347
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,13,54.86867090899999,209715200.0,,,,,,,,,,,0,0,226611966,14680741,206370,145335,0,0,14680469,226611966,145334,206370,206366,0,0,145330,0,0,145330,0,0,206366,0,0,,,30.577040155
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,14,55.71085531814484,209715200.0,,,,,,,,,,,0,0,226603367,13778232,206281,136399,0,0,13778232,226603367,136399,206281,206277,0,0,136395,0,0,136395,0,0,206277,0,0,,,30.114805657
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,15,55.384757183370276,209715200.0,,,,,,,,,,,0,0,226603620,14813008,206255,146646,0,0,14813280,226603892,146647,206256,206253,0,0,146644,0,0,146644,0,0,206253,0,0,,,30.292117949
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,16,55.236764368995665,209715200.0,,,,,,,,,,,0,0,226604973,14733319,206276,145857,0,0,14733319,226604973,145857,206276,206273,0,0,145854,0,0,145854,0,0,206273,0,0,,,30.373277524
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,17,61.49903066136431,209715200.0,,,,,,,,,,,0,0,226586964,16977236,205973,168074,0,0,16977236,226586964,168074,205973,205970,0,0,168071,0,0,168071,0,0,205970,0,0,,,27.280455912
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,18,61.204705562351535,209715200.0,,,,,,,,,,,0,0,226615262,16997739,206357,168277,0,0,16997739,226614990,168277,206356,206353,0,0,168274,0,0,168274,0,0,206353,0,0,,,27.411643882
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,19,54.93913564172534,209715200.0,,,,,,,,,,,0,0,226605293,15490586,206254,153353,0,0,15490314,226605293,153352,206254,206250,0,0,153349,0,0,153349,0,0,206250,0,0,,,30.537822959
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,20,58.51765325501782,209715200.0,,,,,,,,,,,0,0,226735138,11248283,208163,111350,0,0,11248283,226735138,111350,208163,208160,0,0,111347,0,0,111347,0,0,208160,0,0,,,28.670350081
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,1,979.3817023881475,8589934592.0,,,,,,,,,,,0,0,9121336465,27015143,6138910,267457,0,0,27015143,9121336465,267457,6138910,6119668,0,19234,267449,19234,0,267449,0,0,6138902,0,0,,,70.166183524
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,2,1015.2230357397277,8589934592.0,,,,,,,,,,,0,0,9119236474,23392782,6137400,231595,0,0,23392782,9119236202,231595,6137399,6119965,0,17427,231588,17427,0,231588,0,0,6137392,0,0,,,67.689043399
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,3,1029.5115776215018,8589934592.0,,,,,,,,,,,0,0,9119623333,17338813,6137700,171653,0,0,17338813,9119623333,171653,6137700,6120408,0,17285,171646,17285,0,171646,0,0,6137693,0,0,,,66.749591929
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,4,1045.9753461185717,8589934592.0,,,,,,,,,,,0,0,9129285033,16829702,6144351,166614,0,0,16829702,9129285033,166614,6144351,6120195,0,24148,166607,24148,0,166607,0,0,6144343,0,0,,,65.698945768
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,5,997.2578210307952,8589934592.0,,,,,,,,,,,0,0,9118388978,24778974,6136856,245318,0,0,24778974,9118388978,245318,6136856,6119652,0,17196,245310,17196,0,245310,0,0,6136848,0,0,,,68.908435624
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,6,972.0093371882642,8589934592.0,,,,,,,,,,,0,0,9122261045,18676719,6139695,184900,0,0,18676447,9122260773,184899,6139694,6120091,0,19596,184892,19596,0,184892,0,0,6139687,0,0,,,70.698370878
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,7,1773.7682950544577,8589934592.0,,,,,,,,,,,0,0,9131051005,21149105,6145355,209380,0,0,21149105,9131051005,209380,6145355,6119787,0,25562,209374,25562,0,209374,0,0,6145349,0,0,,,38.742082683
