logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,server_throughput_outgoing,server_throughput_incoming,client_throughput_outgoing,client_throughput_incoming,client_perf,server_perf,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_tc_stats,server_tc_stats,client_runtime
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,1,51.39985048678496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.640592682
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,2,52.242608974197495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.114046974
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,3,51.932109940381146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.306055116
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,4,78.00644194634657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.507474106
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,5,76.5561676248651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.914910658
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,6,52.22229184274771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.126540862
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,7,61.10180835278682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.457805093
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,8,59.36001899269712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.263494904
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,9,51.920030751166436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.313570663
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,10,77.09752355023987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.761030655
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,11,51.03481900530808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.874058415
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,12,60.35191002145007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.79898116
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,13,51.9772959699758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.27796996
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,14,51.26414119032782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.727001402
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,15,51.80832568251426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.383242185
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,16,50.95265539729637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9270696
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,17,74.95573058155775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.382832712
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,18,51.12799204001933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.814149529
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,19,51.59404225490586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.517739583
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,20,76.19068725367603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.020035633
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,21,51.952715060321296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.293241303
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,22,60.95785329384537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.522648229
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,23,76.4675953536632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.940295025
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,24,73.30743581345257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.886104773
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,25,61.73472982949372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.176301251
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,26,52.36892104836754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.036588599
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,27,61.38689568924792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.330289113
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,28,51.42156404502923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.626810265
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,29,50.91154526491552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.953656131
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,aioquic,quiche,none,30,61.865726367915755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.118757056
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,1,2582.4885027653354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.609790452
