logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_runtime
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,1,1455.3341427949917,"[52.0, 53.0, 53.0, 53.0, 53.0, 52.0, 53.0, 55.0, 53.0, 54.0, 52.0, 52.0, 53.0, 55.0, 52.0, 52.0, 52.0, 55.0, 52.0, 52.0, 53.0, 52.0, 51.0, 53.0, 52.0, 52.0, 54.0, 51.0, 52.0, 50.0, 54.0, 51.0, 53.0, 50.0, 43.0, 44.0, 85.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 99.0]",60.34090909090909,"[69.0, 68.0, 70.0, 69.0, 70.0, 69.0, 69.0, 70.0, 69.0, 68.0, 70.0, 69.0, 70.0, 69.0, 69.0, 69.0, 69.0, 69.0, 70.0, 68.0, 70.0, 69.0, 69.0, 69.0, 68.0, 69.0, 70.0, 68.0, 69.0, 70.0, 69.0, 69.0, 74.0, 79.0, 79.0, 81.0, 82.0, 83.0, 81.0, 82.0, 82.0]",71.58536585365853,0,0,9351302504,64660218,6787941,466449,0,0,64660154,9351302712,466448,6787941,6712153,0,75781,466442,75781,0,466442,0,0,6787934,0,0,47.219037883
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,2,2044.1675854187156,"[43.0, 47.0, 50.0, 47.0, 47.0, 47.0, 47.0, 48.0, 47.0, 47.0, 47.0, 48.0, 46.0, 47.0, 66.0, 94.0, 93.0, 93.0, 91.0, 92.0, 91.0, 90.0, 92.0, 91.0, 91.0, 91.0, 92.0, 92.0, 91.0, 92.0, 93.0]",70.74193548387096,"[74.0, 73.0, 74.0, 74.0, 74.0, 75.0, 73.0, 75.0, 72.0, 74.0, 75.0, 73.0, 74.0, 86.0, 92.0, 91.0, 90.0, 90.0, 90.0, 90.0, 89.0, 90.0, 89.0, 91.0, 91.0, 90.0, 90.0]",82.18518518518519,0,0,9350589103,58154486,6773459,412287,0,0,58154486,9350589103,412287,6773459,6700346,0,73108,412282,73108,0,412282,0,0,6773454,0,0,33.617340404
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,3,1230.7425337578306,"[45.0, 48.0, 47.0, 47.0, 47.0, 48.0, 46.0, 47.0, 48.0, 46.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 46.0, 48.0, 47.0, 47.0, 47.0, 46.0, 48.0, 46.0, 48.0, 46.0, 48.0, 46.0, 47.0, 47.0, 46.0, 47.0, 46.0, 48.0, 46.0, 48.0, 46.0, 47.0, 47.0, 47.0, 47.0, 46.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 46.0]",46.886792452830186,"[76.0, 76.0, 75.0, 75.0, 76.0, 75.0, 75.0, 75.0, 76.0, 74.0, 76.0, 75.0, 75.0, 76.0, 74.0, 76.0, 75.0, 76.0, 75.0, 77.0, 75.0, 76.0, 76.0, 76.0, 76.0, 74.0, 76.0, 76.0, 76.0, 76.0, 76.0, 76.0, 76.0, 75.0, 76.0, 76.0, 76.0, 75.0, 76.0, 77.0, 76.0, 75.0, 76.0, 75.0, 76.0, 75.0, 76.0, 78.0, 75.0, 77.0]",75.66,0,0,9508556567,101971555,7028476,525077,0,0,101971555,9508556567,525077,7028476,6825748,0,202721,525071,202721,0,525071,0,0,7028469,0,0,55.835786368
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,4,2539.8588170731855,"[79.0, 88.0, 87.0, 87.0, 87.0, 87.0, 87.0, 93.0, 96.0, 96.0, 97.0, 96.0, 87.0, 87.0, 87.0, 87.0, 87.0, 87.0, 87.0, 86.0, 87.0, 87.0, 87.0, 87.0]",88.45833333333333,"[87.0, 88.0, 87.0, 87.0, 88.0, 87.0, 94.0, 95.0, 94.0, 95.0, 94.0, 87.0, 88.0, 86.0, 88.0, 87.0, 88.0, 87.0, 87.0, 87.0, 88.0]",89.0,0,0,9335391731,53405370,6757903,390250,0,0,53405370,9335391731,390250,6757903,6694097,0,63803,390247,63803,0,390247,0,0,6757900,0,0,27.056415182
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,5,2454.7941933387337,"[91.0, 94.0, 94.0, 94.0, 91.0, 86.0, 86.0, 87.0, 86.0, 87.0, 87.0, 86.0, 86.0, 86.0, 87.0, 87.0, 86.0, 87.0, 87.0, 86.0, 86.0, 86.0, 87.0, 86.0, 86.0]",87.68,"[87.0, 88.0, 88.0, 86.0, 87.0, 87.0, 87.0, 87.0, 87.0, 87.0, 87.0, 86.0, 86.0, 88.0, 87.0, 87.0, 86.0, 87.0, 87.0, 87.0, 86.0, 87.0]",86.9090909090909,0,0,9349525643,61381237,6774459,432950,0,0,61381237,9349525643,432950,6774459,6697469,0,76987,432947,76987,0,432947,0,0,6774456,0,0,27.993987331
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,6,1820.7633660469137,"[48.0, 53.0, 47.0, 51.0, 55.0, 58.0, 55.0, 56.0, 52.0, 55.0, 52.0, 53.0, 52.0, 43.0, 44.0, 51.0, 56.0, 56.0, 55.0, 98.0, 100.0, 100.0, 99.0, 99.0, 100.0, 100.0, 99.0, 100.0, 99.0, 99.0, 101.0, 99.0, 99.0, 100.0]",73.05882352941177,"[70.0, 76.0, 75.0, 74.0, 74.0, 73.0, 74.0, 71.0, 70.0, 68.0, 70.0, 70.0, 79.0, 80.0, 76.0, 73.0, 74.0, 74.0, 79.0, 82.0, 81.0, 88.0, 89.0, 87.0, 87.0, 88.0, 88.0, 89.0, 88.0, 87.0, 88.0]",78.7741935483871,0,0,9308478487,48662783,6717204,387988,0,0,48662719,9308478423,387987,6717203,6672443,0,44756,387983,44756,0,387983,0,0,6717199,0,0,37.742124128
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,7,1218.8371498432634,"[44.0, 54.0, 53.0, 51.0, 55.0, 51.0, 54.0, 53.0, 52.0, 56.0, 53.0, 52.0, 52.0, 53.0, 53.0, 51.0, 52.0, 53.0, 53.0, 53.0, 52.0, 52.0, 54.0, 51.0, 53.0, 52.0, 53.0, 52.0, 53.0, 53.0, 52.0, 52.0, 55.0, 52.0, 52.0, 54.0, 51.0, 53.0, 52.0, 52.0, 53.0, 53.0, 52.0, 54.0, 52.0, 52.0, 54.0, 52.0, 53.0, 52.0, 51.0, 53.0, 53.0]",52.490566037735846,"[69.0, 70.0, 69.0, 70.0, 69.0, 69.0, 70.0, 69.0, 70.0, 69.0, 69.0, 70.0, 70.0, 69.0, 69.0, 69.0, 70.0, 70.0, 69.0, 68.0, 70.0, 70.0, 70.0, 70.0, 68.0, 70.0, 70.0, 69.0, 70.0, 70.0, 70.0, 70.0, 69.0, 69.0, 70.0, 70.0, 68.0, 70.0, 69.0, 71.0, 69.0, 70.0, 69.0, 69.0, 70.0, 69.0, 70.0, 70.0, 69.0, 69.0]",69.48,0,0,9382016808,73868816,6849416,468552,0,0,73869088,9382017080,468553,6849417,6750624,0,98787,468547,98787,0,468547,0,0,6849411,0,0,56.38118005
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,8,1576.3504510651514,"[36.0, 36.0, 36.0, 35.0, 36.0, 36.0, 36.0, 36.0, 36.0, 35.0, 36.0, 36.0, 36.0, 35.0, 37.0, 35.0, 36.0, 35.0, 36.0, 35.0, 36.0, 34.0, 36.0, 36.0, 34.0, 38.0, 93.0, 92.0, 93.0, 92.0, 91.0, 92.0, 93.0, 91.0, 92.0, 93.0, 96.0, 98.0, 98.0, 97.0, 93.0]",56.90243902439025,"[77.0, 78.0, 77.0, 77.0, 78.0, 78.0, 77.0, 77.0, 77.0, 78.0, 76.0, 78.0, 77.0, 78.0, 76.0, 77.0, 77.0, 77.0, 77.0, 77.0, 76.0, 77.0, 77.0, 77.0, 77.0, 87.0, 88.0, 86.0, 87.0, 87.0, 86.0, 87.0, 86.0, 87.0, 87.0, 93.0, 94.0]",80.62162162162163,0,0,9407900093,63525263,6847772,391421,0,0,63525199,9407900029,391420,6847771,6721311,0,126455,391415,126455,0,391415,0,0,6847766,0,0,43.594035096
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,9,1150.568057723863,"[44.0, 44.0, 42.0, 49.0, 55.0, 56.0, 54.0, 54.0, 56.0, 55.0, 55.0, 57.0, 53.0, 55.0, 55.0, 53.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 53.0, 54.0, 54.0, 53.0, 54.0, 53.0, 54.0, 54.0, 53.0, 53.0, 54.0, 53.0, 53.0, 54.0, 53.0, 54.0, 46.0, 43.0, 43.0, 44.0, 44.0, 44.0, 43.0, 44.0, 45.0, 43.0, 43.0, 44.0, 44.0, 43.0, 44.0, 43.0, 48.0]",50.40350877192982,"[75.0, 77.0, 73.0, 70.0, 70.0, 69.0, 70.0, 70.0, 71.0, 70.0, 70.0, 69.0, 70.0, 70.0, 69.0, 70.0, 69.0, 70.0, 69.0, 70.0, 69.0, 70.0, 70.0, 68.0, 71.0, 70.0, 68.0, 71.0, 68.0, 69.0, 70.0, 70.0, 69.0, 69.0, 69.0, 69.0, 70.0, 69.0, 69.0, 78.0, 78.0, 78.0, 79.0, 78.0, 79.0, 78.0, 78.0, 78.0, 79.0, 79.0, 78.0, 78.0, 79.0]",72.18867924528301,0,0,9398930027,75627595,6871130,459197,0,0,75627595,9398930027,459197,6871130,6757624,0,113499,459190,113499,0,459190,0,0,6871123,0,0,59.726564348
../../results/buffer/udp/run3/udp-buffer-106496,goracle-gard,quiche,quiche,none,10,1593.3284828879343,"[44.0, 54.0, 54.0, 54.0, 53.0, 54.0, 53.0, 54.0, 53.0, 55.0, 53.0, 54.0, 54.0, 54.0, 54.0, 53.0, 53.0, 54.0, 53.0, 53.0, 44.0, 43.0, 43.0, 45.0, 43.0, 43.0, 55.0, 99.0, 100.0, 95.0, 100.0, 100.0, 99.0, 99.0, 100.0, 100.0, 99.0, 100.0, 100.0, 99.0]",66.725,"[70.0, 70.0, 69.0, 70.0, 70.0, 69.0, 69.0, 70.0, 70.0, 69.0, 70.0, 70.0, 69.0, 70.0, 70.0, 69.0, 70.0, 69.0, 71.0, 79.0, 78.0, 79.0, 79.0, 79.0, 78.0, 77.0, 78.0, 79.0, 78.0, 81.0, 80.0, 79.0, 77.0, 78.0, 76.0, 77.0, 76.0]",73.83783783783784,0,0,9334816069,63463345,6753834,510074,0,0,63463553,9334816277,510074,6753834,6691038,0,62792,510070,62792,0,510070,0,0,6753830,0,0,43.129510189
