logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_runtime
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,1,7857.338902573401,"[63.0, 65.0, 65.0, 63.0, 66.0, 64.0, 65.0, 64.0]",64.375,"[100.0, 100.0, 100.0]",100.0,0,0,9021123010,19352207,5995012,276447,0,0,19351935,9021122738,276446,5995011,1,0,0,1,0,0,0,0,0,0,0,0,8.745896645
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,2,7929.6961924706075,"[65.0, 65.0, 65.0, 64.0, 65.0, 63.0, 66.0, 66.0]",64.875,"[101.0, 100.0, 99.0, 100.0]",100.0,0,0,9021430100,14689145,5999399,209832,0,0,14689145,9021430100,209832,5999399,0,0,0,0,0,0,0,0,0,0,0,0,8.666091574
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,3,7875.829218815397,"[64.0, 64.0, 66.0, 64.0, 61.0, 66.0, 65.0, 63.0]",64.125,"[100.0, 99.0, 101.0]",100.0,0,0,9021729490,19546699,6003676,279227,0,0,19546427,9021729218,279226,6003675,0,0,0,0,0,0,0,0,0,0,0,0,8.725363696
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,4,7892.238057529938,"[56.0, 55.0, 56.0, 54.0, 57.0, 54.0, 56.0, 55.0]",55.375,"[100.0, 101.0, 100.0, 99.0]",100.0,0,0,9021434654,15338197,5999464,219104,0,0,15338197,9021434654,219104,5999464,0,0,0,0,0,0,0,0,0,0,0,0,8.707223219
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,5,7853.101625759831,"[66.0, 67.0, 67.0, 68.0, 67.0, 68.0, 66.0]",67.0,"[99.0, 100.0, 101.0, 99.0]",99.75,0,0,9021735230,14833509,6003758,211894,0,0,14833509,9021735230,211894,6003758,8,0,0,0,0,0,8,0,0,0,0,0,8.750615782
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,6,8044.440103056711,"[65.0, 65.0, 65.0, 67.0, 65.0, 66.0, 62.0, 65.0]",65.0,"[100.0, 99.0, 101.0]",100.0,0,0,9020210918,12754129,5981985,182193,0,0,12754401,9020211190,182194,5981986,0,0,0,0,0,0,0,0,0,0,0,0,8.542480508
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,7,7873.3594783103445,"[69.0, 66.0, 67.0, 68.0, 67.0, 68.0, 68.0, 67.0]",67.5,"[100.0, 101.0, 99.0, 101.0]",100.25,0,0,9021182860,14982923,5995867,214029,0,0,14982923,9021182860,214029,5995867,0,0,0,0,0,0,0,0,0,0,0,0,8.728101382
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,8,7848.160771574184,"[59.0, 55.0, 61.39, 63.0, 60.0, 60.0, 61.0]",59.91285714285714,"[101.0, 100.0, 99.0]",100.0,0,0,9026339340,21509129,6069531,307260,0,0,21508857,9026339068,307259,6069530,0,0,0,0,0,0,1,0,0,1,0,0,8.756125687
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,9,7847.562085343345,"[67.0, 67.0, 65.0, 67.0, 69.0, 68.0, 67.0, 68.0]",67.25,"[100.0, 101.0, 99.0]",100.0,0,0,9021789340,15343249,6004531,219176,0,0,15343249,9021789340,219176,6004531,0,0,0,0,0,0,0,0,0,0,0,0,8.756793348
results/crypto/aes-ni/tcp2,goracle-gard,tls1.3,tls1.3,none,10,8325.643289991682,"[55.0, 53.0, 53.0, 55.0, 55.0, 56.0, 56.0]",54.714285714285715,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9020864290,20146159,5991316,287789,0,0,20145887,9020864018,287788,5991315,0,0,0,0,0,0,0,0,0,0,0,0,8.253954285
