logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_runtime
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,1,1581.8330144322645,"[100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 101.0, 99.0, 100.0, 101.0, 99.0, 100.0, 100.0, 100.0, 100.0, 101.0, 100.0]",100.02325581395348,"[41.0, 40.0, 41.0, 39.0, 41.0, 41.0, 40.0, 41.0, 40.0, 41.0, 40.0, 41.0, 40.0, 41.0, 40.0, 40.0, 42.0, 40.0, 41.0, 40.0, 41.0, 40.0, 42.0, 40.0, 40.0, 42.0, 40.0, 41.0, 40.0, 40.0, 41.0, 42.0, 40.0, 40.0, 41.0, 40.0, 41.0, 40.0]",40.55263157894737,0,0,9041875336,36707387,6291471,524375,0,0,36707387,9041875336,524375,6291471,0,0,0,0,0,0,0,0,0,0,0,0,43.442939716
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,2,1580.637938000707,"[100.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 99.0, 101.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 101.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0]",100.0,"[42.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.58, 42.0, 41.0, 42.0, 42.0, 42.0, 41.0, 41.0, 42.0, 42.0, 42.0, 42.0, 42.0, 41.0, 41.0, 43.0, 41.0, 42.0, 41.0, 42.0, 41.0, 41.0, 43.0, 41.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0]",41.646842105263154,0,0,9041875208,36707189,6291469,524372,0,0,36707189,9041875208,524372,6291469,2,0,0,2,0,0,2,0,0,2,0,0,43.475785668
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,3,1586.173592879965,"[99.0, 101.0, 99.0, 101.0, 99.0, 100.0, 101.0, 99.0, 101.0, 99.0, 100.0, 101.0, 99.0, 100.0, 101.0, 100.0, 99.0, 101.0, 99.0, 101.0, 100.0, 99.0, 101.0, 99.0, 101.0, 100.0, 99.0, 100.0, 101.0, 99.0, 101.0, 99.0, 100.0, 100.0, 101.0, 99.0, 100.0, 101.0, 100.0, 99.0, 100.0, 100.0, 100.0]",99.97674418604652,"[43.0, 44.0, 44.0, 46.0, 42.0, 44.0, 43.0, 41.0, 42.0, 41.0, 42.0, 41.0, 41.0, 42.0, 43.0, 40.0, 41.0, 43.0, 42.0, 43.0, 42.0, 45.0, 41.0, 43.0, 42.0, 45.0, 41.0, 41.0, 42.0, 42.0, 41.0, 42.0, 41.0, 41.0, 43.0, 44.0, 45.0, 44.0]",42.44736842105263,0,0,9041874648,36706979,6291461,524369,0,0,36706707,9041874376,524368,6291460,0,0,0,0,0,0,0,0,0,0,0,0,43.324057781
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,4,1582.9400501117673,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 101.0, 100.0, 100.0, 99.0, 101.0, 100.0, 99.0, 100.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 101.0, 99.0, 100.0, 101.0, 100.0, 100.0, 99.0, 101.0, 99.0, 101.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,"[41.0, 41.0, 39.0, 41.0, 41.0, 40.0, 40.0, 41.0, 40.0, 41.0, 41.0, 40.0, 40.0, 41.0, 40.0, 41.0, 41.0, 41.0, 39.0, 41.0, 41.0, 40.0, 40.0, 41.0, 41.0, 40.0, 40.0, 41.0, 40.0, 41.0, 41.0, 41.0, 40.0, 40.0, 40.0, 41.0, 41.0, 40.0, 41.0]",40.51282051282051,0,0,9041875208,36709359,6291469,524403,0,0,36709359,9041875208,524403,6291469,0,0,0,0,0,0,0,0,0,0,0,0,43.412558646
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,5,1552.1478028189,"[101.0, 99.0, 100.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 101.0, 99.0, 101.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.02325581395348,"[41.0, 41.0, 41.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 44.0, 43.0, 43.0, 44.0, 42.0, 44.0, 43.0, 43.0, 43.0, 43.0, 43.0, 44.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 44.0, 43.0, 43.0]",42.94871794871795,0,0,9041875208,36707329,6291469,524374,0,0,36707329,9041875208,524374,6291469,0,0,0,0,0,0,0,0,0,0,0,0,44.273796135
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,6,1581.219568965283,"[99.0, 101.0, 99.0, 100.0, 100.0, 101.0, 100.0, 100.0, 99.0, 100.0, 100.0, 101.0, 100.0, 99.0, 101.0, 100.0, 99.0, 101.0, 99.0, 100.0, 100.0, 99.01, 100.0, 101.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 101.0, 99.0, 100.0, 100.0, 100.0, 101.0, 99.0, 100.0, 101.0, 99.0, 100.0]",99.95372093023256,"[42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 42.0, 42.0, 41.0, 40.0, 42.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 42.0, 40.0]",41.526315789473685,0,0,9041875272,36707183,6291470,524372,0,0,36707183,9041875272,524372,6291470,0,0,0,0,0,0,0,0,0,0,0,0,43.459793662
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,7,1582.5647553835304,"[99.0, 100.0, 101.0, 100.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 101.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 99.0, 101.0, 99.0, 101.0, 99.0, 101.0, 99.0, 101.0, 99.0, 100.0, 101.0, 100.0, 99.0, 101.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,"[40.0, 42.0, 41.0, 40.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 42.0, 41.0, 40.0, 41.0, 42.0, 40.0, 42.0, 40.0, 41.0, 41.0, 41.0, 42.0, 40.0, 41.0, 41.0, 41.0, 41.0, 42.0, 42.0, 42.0, 41.0, 42.0, 41.0]",41.18421052631579,0,0,9041875272,36707393,6291470,524375,0,0,36707393,9041875272,524375,6291470,0,0,0,0,0,0,0,0,0,0,0,0,43.422853116
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,8,1619.6037256731465,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 101.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 101.0, 99.0, 100.0, 100.0, 101.0, 99.0, 101.0, 99.0, 100.0, 100.0, 100.0, 101.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 101.0, 100.0, 99.0, 101.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,"[43.0, 43.0, 40.0, 42.0, 41.0, 41.0, 42.0, 40.0, 42.0, 40.0, 42.0, 41.0, 42.0, 40.0, 42.0, 41.0, 41.0, 42.0, 40.59, 41.0, 42.0, 41.0, 42.0, 41.0, 41.0, 41.0, 41.0, 42.0, 41.0, 42.0, 38.0, 41.0, 42.0, 40.0, 42.0, 41.0, 41.0]",41.23216216216217,0,0,9041875272,36707183,6291470,524372,0,0,36707183,9041875272,524372,6291470,3,0,0,0,0,0,3,0,0,0,0,0,42.42980887
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,9,1583.1353685501315,"[100.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 99.0, 101.0, 100.0, 99.0, 101.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,"[41.0, 40.0, 41.0, 41.0, 41.0, 40.0, 42.0, 40.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 40.0, 42.0, 41.0, 41.0, 40.0, 42.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 40.0, 42.0]",40.94871794871795,0,0,9041875272,36707323,6291470,524374,0,0,36707323,9041875272,524374,6291470,1,0,0,1,0,0,1,0,0,1,0,0,43.407201593
results/crypto/aes-noni/tcp2,goracle-gard,tls1.3,tls1.3,none,10,1583.529105737758,"[100.0, 101.0, 99.0, 101.0, 100.0, 99.0, 100.0, 100.0, 100.0, 101.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 101.0, 100.0, 100.0, 100.0, 99.0, 101.0, 99.0, 100.0, 100.0, 101.0, 99.0, 100.0, 100.0, 100.0, 101.0, 99.0, 100.0, 99.01, 100.0, 100.0, 100.0, 100.0, 101.0, 100.0, 100.0, 100.0]",100.00023255813954,"[42.0, 41.0, 42.0, 41.0, 40.0, 41.0, 42.0, 40.0, 42.0, 41.0, 41.0, 41.0, 42.0, 41.0, 41.0, 40.0, 42.0, 43.0, 44.0, 44.0, 45.0, 40.0, 41.0, 42.0, 40.0, 43.0, 41.0, 41.0, 41.0, 40.59, 41.0, 41.0, 41.0, 41.0, 42.0, 42.0, 40.0, 45.0, 42.0]",41.55358974358975,0,0,9041875336,36707247,6291471,524373,0,0,36707247,9041875336,524373,6291471,0,0,0,0,0,0,0,0,0,0,0,0,43.396409107
