logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_runtime
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,1,7658.281653951802,"[81.0, 84.0, 85.0, 84.0, 72.0, 48.0, 50.0, 49.0]",69.125,"[100.0, 100.0, 100.0, 100.0]",100.0,,,8996495348,13307129,,,,,13307147,8996495330,,,1,0,0,1,0,0,0,0,0,0,0,0,8.97322407
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,2,7601.342892308659,"[76.0, 83.0, 84.0, 83.0, 83.0, 55.0, 49.0, 48.0]",70.125,"[100.0, 100.0, 101.0, 100.0]",100.25,,,8996501684,13229975,,,,,13229993,8996501666,,,0,0,0,0,0,0,0,0,0,0,0,0,9.040439507
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,3,7564.687735304366,"[86.0, 55.0, 49.0, 50.0, 50.0, 48.0, 50.0, 50.0]",54.75,"[100.0, 99.0, 101.0, 100.0]",100.0,,,8996796990,13641113,,,,,13641131,8996796972,,,0,0,0,0,0,0,0,0,0,0,0,0,9.084245306
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,4,7893.713048021065,"[85.0, 76.0, 49.0, 49.0, 49.0, 50.0, 49.0, 50.0]",57.125,"[100.0, 100.0, 100.0, 99.0]",99.75,,,8996455692,13226111,,,,,13226129,8996455674,,,0,0,0,0,0,0,0,0,0,0,0,0,8.705595232
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,5,7568.414354016819,"[79.0, 83.0, 84.0, 84.0, 83.0, 59.0, 49.0, 49.0]",71.25,"[99.0, 101.0, 100.0, 100.0]",100.0,,,8996487098,13393193,,,,,13393211,8996487080,,,1,0,0,1,0,0,0,0,0,0,0,0,9.07977257
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,6,7633.511853861124,"[83.0, 83.0, 82.18, 55.0, 49.0, 49.0, 49.0, 48.0]",62.2725,"[99.0, 101.0, 99.0, 101.0]",100.0,,,8996999920,13800401,,,,,13800419,8996999902,,,0,0,0,0,0,0,0,0,0,0,0,0,9.002340984
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,7,7077.880008009025,"[50.0, 78.0, 82.0, 82.0, 81.0, 81.0, 82.0, 55.0, 47.0]",70.88888888888889,"[100.0, 101.0, 99.0, 100.0]",100.0,,,8997375704,14264201,,,,,14264219,8997375686,,,0,0,0,0,0,0,1,0,0,1,0,0,9.70904827
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,8,7830.340651582283,"[84.0, 85.0, 79.0, 48.0, 51.0, 49.0, 49.0, 49.0]",61.75,"[100.0, 100.0, 100.0, 100.0]",100.0,,,8996960982,13662377,,,,,13662395,8996960964,,,0,0,0,0,0,0,0,0,0,0,0,0,8.776051622
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,9,7613.2295645492,"[79.0, 85.0, 86.0, 85.0, 85.0, 66.0, 50.0, 50.0]",73.25,"[100.0, 100.0, 99.0, 100.0]",99.75,,,8997177954,13814543,,,,,13814561,8997177936,,,0,0,0,0,0,0,0,0,0,0,0,0,9.026323712
../../results/hardware/optimized/tcp-tinyman,tinyman-idex,tcp+tls,tcp+tls,none,10,7776.83358875311,"[92.0, 88.0, 74.0, 50.0, 51.0, 50.0, 51.0, 49.0]",63.125,"[99.0, 101.0, 99.0, 100.0]",99.75,,,8996407106,13319339,,,,,13319357,8996407088,,,0,0,0,0,0,0,0,0,0,0,0,0,8.83643403
