NIC statistics:
     rx_packets: 276429745
     tx_packets: 9163256
     rx_bytes: 401664208558
     tx_bytes: 808812479
     rx_pkts_nic: 276429745
     tx_pkts_nic: 9163256
     rx_bytes_nic: 402769927538
     tx_bytes_nic: 845468431
     lsc_int: 2
     tx_busy: 0
     non_eop_descs: 0
     rx_errors: 0
     tx_errors: 0
     rx_dropped: 0
     tx_dropped: 0
     multicast: 6
     broadcast: 0
     rx_no_buffer_count: 0
     collisions: 0
     rx_over_errors: 0
     rx_crc_errors: 0
     rx_frame_errors: 0
     hw_rsc_aggregated: 0
     hw_rsc_flushed: 0
     fdir_match: 24193688
     fdir_miss: 252235895
     fdir_overflow: 0
     rx_fifo_errors: 0
     rx_missed_errors: 0
     tx_aborted_errors: 0
     tx_carrier_errors: 0
     tx_fifo_errors: 0
     tx_heartbeat_errors: 0
     tx_timeout_count: 0
     tx_restart_queue: 0
     rx_length_errors: 0
     rx_long_length_errors: 0
     rx_short_length_errors: 0
     tx_flow_control_xon: 0
     rx_flow_control_xon: 0
     tx_flow_control_xoff: 0
     rx_flow_control_xoff: 0
     rx_csum_offload_errors: 0
     alloc_rx_page: 17266588
     alloc_rx_page_failed: 0
     alloc_rx_buff_failed: 0
     rx_no_dma_resources: 0
     os2bmc_rx_by_bmc: 0
     os2bmc_tx_by_bmc: 0
     os2bmc_tx_by_host: 0
     os2bmc_rx_by_host: 0
     tx_hwtstamp_timeouts: 0
     tx_hwtstamp_skipped: 0
     rx_hwtstamp_cleared: 0
     tx_ipsec: 0
     rx_ipsec: 0
     fcoe_bad_fccrc: 0
     rx_fcoe_dropped: 0
     rx_fcoe_packets: 0
     rx_fcoe_dwords: 0
     fcoe_noddp: 0
     fcoe_noddp_ext_buff: 0
     tx_fcoe_packets: 0
     tx_fcoe_dwords: 0
     tx_queue_0_packets: 574698
     tx_queue_0_bytes: 41929885
     tx_queue_1_packets: 270002
     tx_queue_1_bytes: 21432228
     tx_queue_2_packets: 7254230
     tx_queue_2_bytes: 663099883
     tx_queue_3_packets: 199332
     tx_queue_3_bytes: 14021003
     tx_queue_4_packets: 98245
     tx_queue_4_bytes: 7158449
     tx_queue_5_packets: 38751
     tx_queue_5_bytes: 2736917
     tx_queue_6_packets: 589388
     tx_queue_6_bytes: 49069401
     tx_queue_7_packets: 138610
     tx_queue_7_bytes: 9364713
     tx_queue_8_packets: 0
     tx_queue_8_bytes: 0
     tx_queue_9_packets: 0
     tx_queue_9_bytes: 0
     tx_queue_10_packets: 0
     tx_queue_10_bytes: 0
     tx_queue_11_packets: 0
     tx_queue_11_bytes: 0
     tx_queue_12_packets: 0
     tx_queue_12_bytes: 0
     tx_queue_13_packets: 0
