logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_runtime
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,1,7524.870942991112,"[66.0, 67.0, 66.0, 67.0, 67.0, 67.0, 65.0, 65.0, 67.0]",66.33333333333333,"[100.0, 99.0, 100.0, 101.0, 99.0]",99.8,0,0,9021687048,15160553,6003069,216566,0,0,15160281,9021686776,216565,6003068,0,0,0,0,0,0,0,0,0,0,0,0,9.13231255
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,2,7972.7038085497,"[62.0, 61.0, 60.0, 61.0, 60.0, 60.0, 60.0]",60.57142857142857,"[99.0, 100.0, 101.0]",100.0,0,0,9021331728,19863445,5997993,283750,0,0,19863445,9021331728,283750,5997993,0,0,0,0,0,0,0,0,0,0,0,0,8.619343856
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,3,7557.28455812423,"[69.0, 64.0, 64.0, 64.0, 65.0, 64.0, 65.0, 65.0]",65.0,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9021776998,15464761,6004354,220912,0,0,15464761,9021776998,220912,6004354,0,0,0,0,0,0,0,0,0,0,0,0,9.093144568
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,4,7564.910912478092,"[65.0, 63.0, 66.0, 67.0, 66.0, 67.0, 65.0, 65.0]",65.5,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9021671726,15232311,6002853,217594,0,0,15232583,9021671998,217595,6002854,0,0,0,0,0,0,0,0,0,0,0,0,9.083976615
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,5,8035.497329509817,"[68.0, 66.0, 68.0, 66.0, 68.0, 66.0, 67.0, 66.0]",66.875,"[99.0, 100.0, 100.0]",99.66666666666667,0,0,9021945558,19769657,6006762,282410,0,0,19769657,9021945558,282410,6006762,0,0,0,0,0,0,0,0,0,0,0,0,8.551988235
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,6,7597.653503012606,"[69.0, 67.0, 67.0, 68.0, 67.0, 64.0, 68.0, 68.0]",67.25,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9021723728,14183959,6003593,202615,0,0,14183959,9021723728,202615,6003593,0,0,0,0,0,0,0,0,0,0,0,0,9.044828839
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,7,7558.197212816565,"[65.0, 65.0, 65.0, 64.0, 66.0, 65.0, 63.0, 65.0]",64.75,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9021577296,15196831,6001504,217088,0,0,15197103,9021577568,217089,6001505,0,0,0,0,0,0,0,0,0,0,0,0,9.092045974
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,8,7436.9691756275515,"[64.0, 64.0, 67.0, 65.0, 64.0, 65.0, 65.0, 65.0]",64.875,"[100.0, 100.0, 100.0, 100.0, 100.0]",100.0,0,0,9022251534,16168513,6011133,230965,0,0,16168513,9022251534,230965,6011133,0,0,0,0,0,0,0,0,0,0,0,0,9.240253248
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,9,7636.351838033433,"[65.0, 66.0, 65.0, 66.0, 67.0, 66.0, 67.0, 68.0]",66.25,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9022041884,19700573,6008138,281423,0,0,19700573,9022041884,281423,6008138,0,0,0,0,0,0,0,0,0,0,0,0,8.998993553
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,10,7317.146267375161,"[66.0, 67.0, 67.0, 67.0, 66.0, 69.0, 66.0, 68.0, 66.0]",66.88888888888889,"[100.0, 100.0, 100.0, 100.0]",100.0,0,0,9021329844,20023249,5997966,286033,0,0,20023249,9021329844,286033,5997966,0,0,0,0,0,0,0,0,0,0,0,0,9.391568092
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,11,7766.1069387054895,"[66.0, 65.0, 66.0, 65.0, 65.0, 65.0, 65.0, 65.0]",65.25,"[100.0, 100.0, 100.0]",100.0,0,0,9020942044,14919561,5992426,213123,0,0,14919561,9020942044,213123,5992426,0,0,0,0,0,0,0,0,0,0,0,0,8.848638925
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,12,7988.575591484012,"[67.0, 65.0, 68.0, 66.0, 66.0, 68.0, 65.0, 66.0]",66.375,"[101.0, 99.0, 101.0, 99.0]",100.0,0,0,9021201332,19635385,5996133,280496,0,0,19635657,9021201604,280497,5996134,0,0,0,0,0,0,0,0,0,0,0,0,8.602219409
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,13,7525.178301215295,"[67.0, 65.0, 65.0, 68.0, 66.0, 67.0, 67.0, 69.0, 67.0]",66.77777777777777,"[100.0, 100.0, 99.0, 101.0]",100.0,0,0,9022775484,16657253,6018618,237947,0,0,16657253,9022775484,237947,6018618,0,0,0,0,0,0,0,0,0,0,0,0,9.131940469
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,14,7934.2803743410905,"[67.0, 66.0, 65.0, 65.0, 65.0, 66.0, 67.0, 65.0]",65.75,"[100.0, 99.0, 101.0]",100.0,0,0,9020463104,13726199,5985584,196076,0,0,13725927,9020462832,196075,5985583,0,0,0,0,0,0,0,0,0,0,0,0,8.66108521
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,15,8030.389123460928,"[67.0, 64.0, 68.0, 65.0, 65.0, 65.0, 65.0, 65.0]",65.5,"[99.0, 101.0, 99.0]",99.66666666666667,0,0,9021657578,20384591,6002648,291197,0,0,20384591,9021657578,291197,6002648,0,0,0,0,0,0,1,0,0,1,0,0,8.557427873
../../results/offloading/goracle/default/run2,goracle-gard,tcp+tls,tcp+tls,none,16,7512.367212377834,"[67.0, 65.0, 65.0, 63.0, 65.0, 63.0, 66.0, 65.0]",64.875,"[101.0, 99.0, 100.0, 100.0, 100.0]",100.0,0,0,9021839718,15950597,6005250,227852,0,0,15950597,9021839718,227852,6005250,0,0,0,0,0,0,0,0,0,0,0,0,9.147512618
