logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_runtime
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,1,5006.003807272631,"[100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",99.84615384615384,"[97.0, 98.0, 93.0, 89.0, 88.0, 88.0, 88.0, 88.0]",91.125,0,0,9029977726,59575011,6121506,851057,0,0,59575011,9029977726,851057,6121506,0,0,0,0,0,0,0,0,0,0,0,0,13.72741158
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,2,5563.6471455001965,"[77.0, 79.0, 75.0, 73.0, 73.0, 73.0, 74.0, 73.0, 70.0, 72.0, 75.0, 75.0]",74.08333333333333,"[101.0, 99.0, 100.0, 100.0, 100.0, 100.0, 99.01]",99.85857142857142,0,0,9021495616,24639829,6000333,351984,0,0,24639829,9021495616,351984,6000333,0,0,0,0,0,0,0,0,0,0,0,0,12.351516504
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,3,4988.3103179469545,"[101.0, 98.0, 101.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 101.0, 100.0, 99.0, 100.0]",99.92307692307692,"[92.0, 101.0, 88.0, 86.0, 86.0, 96.0, 95.0, 100.0]",93.0,0,0,9029144376,55124971,6109601,787485,0,0,55124971,9029144376,787485,6109601,0,0,0,0,0,0,0,0,0,0,0,0,13.776103134
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,4,5378.58849453868,"[100.0, 100.0, 100.0, 100.0, 100.0, 96.0, 80.0, 80.0, 81.0, 79.0, 80.0, 81.0]",89.75,"[83.0, 90.0, 79.0, 79.0, 95.0, 100.0, 100.0]",89.42857142857143,0,0,9025966516,49351045,6064203,705000,0,0,49351045,9025966516,705000,6064203,0,0,0,0,0,0,0,0,0,0,0,0,12.776488817
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,5,5014.512551737182,"[99.0, 100.0, 99.0, 98.0, 100.0, 101.0, 99.0, 100.0, 99.0, 99.0, 101.0, 100.0, 99.0]",99.53846153846153,"[100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 101.0, 100.0]",100.0,0,0,9025571786,30942313,6058564,442020,0,0,30942313,9025571786,442020,6058564,1,0,0,1,0,0,1,0,0,1,0,0,13.704119041
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,6,5121.725129408019,"[100.0, 100.0, 101.0, 99.0, 101.0, 99.0, 100.0, 101.0, 99.0, 101.0, 100.0, 99.0, 100.0]",100.0,"[79.0, 92.0, 92.0, 91.0, 91.0, 92.0, 91.0, 91.0, 92.0]",90.11111111111111,0,0,9028068476,45536989,6094231,650514,0,0,45536989,9028068476,650514,6094231,0,0,0,0,0,0,0,0,0,0,0,0,13.417251653
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,7,7796.280099605269,"[69.0, 71.0, 71.0, 70.0, 71.0, 67.0, 62.0, 61.0]",67.75,"[100.0, 100.0, 100.0]",100.0,0,0,9020588074,57019133,5987371,814547,0,0,57019405,9020588346,814548,5987372,0,0,0,0,0,0,0,0,0,0,0,0,8.814392724
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,8,7944.291128580001,"[89.0, 84.0, 83.0, 82.0, 83.0, 80.0, 83.0, 80.0]",83.0,"[100.0, 100.0, 99.01]",99.67,0,0,9021967416,61091067,6007073,872717,0,0,61091067,9021967416,872717,6007073,0,0,0,0,0,0,0,0,0,0,0,0,8.650170982
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,9,5096.157083860603,"[100.0, 99.0, 101.0, 100.0, 99.0, 100.0, 101.0, 100.0, 99.0, 100.0, 100.0, 99.0, 100.0]",99.84615384615384,"[95.0, 96.0, 96.0, 95.0, 95.0, 96.0, 95.0, 97.0]",95.625,0,0,9028626306,37998689,6102200,542824,0,0,37998689,9028626306,542824,6102200,0,0,0,0,0,0,0,0,0,0,0,0,13.484567251
../../results/offloading/goracle/off/run2,goracle-gard,tcp+tls,tcp+tls,none,10,5103.149966768379,"[100.0, 101.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,"[94.0, 96.0, 96.0, 96.0, 95.0, 97.0, 95.0, 97.0]",95.75,0,0,9028128606,37060257,6095090,529418,0,0,37060257,9028128606,529418,6095090,0,0,0,0,0,0,0,0,0,0,0,0,13.466089894
